epoch,train_loss,val_loss,train_accuracy,val_accuracy,learning_rate,rank,lora_alpha,lora_dropout,weight_decay,loss_function
1,0.6174189768351319,0.5611744274695715,0.6491611531190926,0.6922348484848485,0.0001,32,64,0.1,0,cross_entropy
2,0.557127731959626,0.5380974931247307,0.706758034026465,0.7163825757575758,0.0001,32,64,0.1,0,cross_entropy
3,0.5381046712736551,0.5401102914051576,0.7195770321361059,0.7144886363636364,0.0001,32,64,0.1,0,cross_entropy
4,0.5256208038285008,0.5271829782110272,0.7314508506616257,0.7291666666666666,0.0001,32,64,0.1,0,cross_entropy
5,0.5112545805893458,0.5333036288167491,0.7379489603024575,0.7267992424242424,0.0001,32,64,0.1,0,cross_entropy
6,0.5047078511778033,0.5317411377574458,0.7430883742911153,0.7305871212121212,0.0001,32,64,0.1,0,cross_entropy
7,0.4892893847648498,0.5230886985858282,0.7557301512287334,0.7301136363636364,0.0001,32,64,0.1,0,cross_entropy
8,0.48427054009951354,0.5326424448779135,0.756202741020794,0.7211174242424242,0.0001,32,64,0.1,0,cross_entropy
9,0.46842620968255294,0.5313750311280742,0.7667769376181475,0.7239583333333334,0.0001,32,64,0.1,0,cross_entropy
10,0.462984261108256,0.5326574386069269,0.7709120982986768,0.728219696969697,0.0001,32,64,0.1,0,cross_entropy
